relation,%_of_occurence,delete
<http://dbpedia.org/ontology/largestCity?inv>,0.055250514756348665,False
<http://dbpedia.org/ontology/gridReference>,0.05383745811296378,False
<http://dbpedia.org/ontology/countySeat?inv>,0.050769106544470914,False
<http://dbpedia.org/ontology/broadcastArea?inv>,0.047660381929024186,True
<http://dbpedia.org/ontology/synonym>,0.04548023739351609,True
<http://dbpedia.org/ontology/percentageOfAreaWater>,0.04380475594493116,True
<http://dbpedia.org/ontology/place?inv>,0.04356251766320804,True
<http://dbpedia.org/ontology/populationUrban>,0.03734506843231459,True
<http://dbpedia.org/ontology/region>,0.03595219831240664,True
<http://dbpedia.org/ontology/federalState>,0.03492268561508337,True
<http://dbpedia.org/ontology/populationMetro>,0.03367112115951391,True
<http://dbpedia.org/ontology/locatedInArea?inv>,0.033550002018652346,True
<http://dbpedia.org/ontology/garrison?inv>,0.03312608502563689,True
<http://dbpedia.org/ontology/demonym>,0.03306552545520611,True
<http://dbpedia.org/ontology/mouthPlace?inv>,0.03266179498566757,True
<http://dbpedia.org/ontology/mouthMountain?inv>,0.03266179498566757,True
<http://dbpedia.org/ontology/area>,0.02753441802252816,True
<http://dbpedia.org/ontology/isoCodeRegion>,0.027110501029512696,True
<http://dbpedia.org/ontology/capital?inv>,0.026504905325204893,True
<http://www.w3.org/2002/07/owl#differentFrom>,0.023739351608865922,True
<http://dbpedia.org/ontology/populationTotalRanking>,0.02248778715329646,True
<http://dbpedia.org/ontology/picture?inv>,0.01939924906132666,True
<http://dbpedia.org/ontology/namedAfter>,0.018975332068311195,True
<http://dbpedia.org/ontology/populationPlace?inv>,0.018288990270095683,True
<http://dbpedia.org/ontology/region?inv>,0.017602648471880172,True
<http://dbpedia.org/ontology/ceremonialCounty>,0.01635108401631071,True
<http://dbpedia.org/ontology/campus?inv>,0.016189591828495296,True
<http://dbpedia.org/ontology/regionServed?inv>,0.016129032258064516,True
<http://dbpedia.org/ontology/constituencyDistrict?inv>,0.01580604788243369,True
<http://www.w3.org/2002/07/owl#differentFrom?inv>,0.015361944365941297,True
<http://dbpedia.org/ontology/locationCity?inv>,0.015038959990310468,True
<http://dbpedia.org/ontology/areaUrban>,0.01471597561467964,True
<http://dbpedia.org/ontology/distanceToLondon>,0.014251685574710323,True
<http://dbpedia.org/ontology/province>,0.013969074246033348,True
<http://www.w3.org/2000/01/rdf-schema#seeAlso?inv>,0.013545157253017885,True
<http://dbpedia.org/ontology/maximumElevation>,0.012979934595663935,True
<http://dbpedia.org/ontology/assembly?inv>,0.01263676369655618,True
<http://dbpedia.org/ontology/minimumElevation>,0.01237433889135613,True
<http://dbpedia.org/ontology/builder?inv>,0.012293592797448424,True
<http://dbpedia.org/ontology/leaderParty>,0.011849489280956034,True
<http://dbpedia.org/ontology/areaMetro>,0.01098146877144818,True
<http://dbpedia.org/ontology/division>,0.010840163107109694,True
<http://dbpedia.org/ontology/destination?inv>,0.010759417013201987,True
<http://dbpedia.org/ontology/neighboringMunicipality?inv>,0.010517178731478864,True
<http://dbpedia.org/ontology/canton>,0.010254753926278816,True
<http://dbpedia.org/ontology/neighboringMunicipality>,0.00966934474544794,True
<http://dbpedia.org/ontology/municipalityCode>,0.009649158221971012,True
<http://dbpedia.org/ontology/education?inv>,0.008720578142032379,True
<http://dbpedia.org/ontology/billed?inv>,0.008559085954216965,True
<http://dbpedia.org/ontology/governingBody>,0.00845815333683233,True
<http://dbpedia.org/ontology/censusYear>,0.006923977552585893,True
<http://dbpedia.org/ontology/knownFor?inv>,0.006459687512616577,True
<http://dbpedia.org/ontology/saint>,0.006419314465662723,True
<http://dbpedia.org/ontology/homeport?inv>,0.006358754895231944,True
<http://dbpedia.org/ontology/importantStation?inv>,0.006197262707416528,True
<http://dbpedia.org/ontology/founder>,0.006035770519601114,True
<http://dbpedia.org/ontology/lieutenancyArea>,0.0059348379022164804,True
<http://dbpedia.org/ontology/city>,0.0059146513787395535,True
<http://dbpedia.org/ontology/councilArea>,0.005833905284831846,True
<http://dbpedia.org/ontology/operator?inv>,0.005813718761354919,True
<http://dbpedia.org/ontology/metropolitanBorough>,0.005309055674431749,True
<http://dbpedia.org/ontology/namedAfter?inv>,0.005268682627477895,True
<http://dbpedia.org/ontology/country?inv>,0.0052081230570471156,True
<http://dbpedia.org/ontology/inseeCode>,0.004945698251847067,True
<http://dbpedia.org/ontology/spokenIn?inv>,0.004905325204893213,True
<http://dbpedia.org/ontology/leaderTitle>,0.004905325204893213,True
<http://dbpedia.org/ontology/type?inv>,0.004824579110985506,True
<http://dbpedia.org/ontology/principalArea>,0.004784206064031652,True
<http://dbpedia.org/ontology/targetAirport?inv>,0.004784206064031652,True
<http://dbpedia.org/ontology/occupation?inv>,0.004743833017077799,True
<http://dbpedia.org/ontology/recordedIn?inv>,0.004683273446647019,True
<http://dbpedia.org/ontology/territory?inv>,0.004481408211877751,True
<http://dbpedia.org/ontology/diocese?inv>,0.004400662117970043,True
<http://dbpedia.org/ontology/district?inv>,0.004400662117970043,True
<http://dbpedia.org/ontology/homeStadium?inv>,0.0040574912188622875,True
<http://dbpedia.org/ontology/majorShrine?inv>,0.0038556259840930194,True
<http://dbpedia.org/ontology/placeOfBurial?inv>,0.003573014655416044,True
<http://dbpedia.org/ontology/associationOfLocalGovernment>,0.003492268561508337,True
<http://dbpedia.org/ontology/significantBuilding?inv>,0.0033307763736929227,True
<http://dbpedia.org/ontology/province?inv>,0.003290403326739069,True
<http://dbpedia.org/ontology/populationMetroDensity>,0.0030885380919698007,True
<http://dbpedia.org/ontology/leaderName>,0.0030885380919698007,True
<http://dbpedia.org/ontology/distanceToEdinburgh>,0.0030683515684928743,True
<http://dbpedia.org/ontology/frazioni>,0.0030077919980620936,True
<http://dbpedia.org/ontology/premierePlace?inv>,0.002987605474585167,True
<http://dbpedia.org/ontology/twinTown?inv>,0.0029674189511082402,True
<http://dbpedia.org/ontology/state?inv>,0.002886672857200533,True
<http://dbpedia.org/ontology/battle?inv>,0.002866486333723606,True
<http://dbpedia.org/ontology/municipality?inv>,0.002765553716338972,True
<http://dbpedia.org/ontology/origin?inv>,0.0026242480520004847,True
<http://dbpedia.org/ontology/administrativeDistrict>,0.002583875005046631,True
<http://dbpedia.org/ontology/department>,0.0024425693407081435,True
<http://dbpedia.org/ontology/municipality>,0.0024223828172312166,True
<http://dbpedia.org/ontology/populationUrbanDensity>,0.0023820097702773628,True
<http://dbpedia.org/ontology/hubAirport?inv>,0.002260890629415802,True
<http://dbpedia.org/ontology/foundingYear>,0.0022407041059388753,True
<http://dbpedia.org/ontology/twinTown>,0.0019984658242157534,True
<http://dbpedia.org/ontology/bodyDiscovered?inv>,0.001857160159877266,True
<http://dbpedia.org/ontology/award?inv>,0.001836973636400339,True
<http://dbpedia.org/ontology/servingRailwayLine?inv>,0.001836973636400339,True
<http://dbpedia.org/ontology/county>,0.0017966005894464855,True
<http://dbpedia.org/ontology/stadium?inv>,0.0017764140659695586,True
<http://dbpedia.org/ontology/notableWork?inv>,0.001756227542492632,True
<http://dbpedia.org/ontology/jointCommunity>,0.001756227542492632,True
<http://dbpedia.org/ontology/significantProject?inv>,0.001736041019015705,True
<http://dbpedia.org/ontology/beatifiedPlace?inv>,0.001736041019015705,True
<http://dbpedia.org/ontology/frazioni?inv>,0.0016754814485849248,True
<http://dbpedia.org/ontology/division?inv>,0.0015947353546772174,True
<http://dbpedia.org/ontology/intercommunality>,0.0015543623077233638,True
<http://dbpedia.org/ontology/county?inv>,0.0014736162138156567,True
<http://dbpedia.org/ontology/maintainedBy?inv>,0.0014130566433848762,True
<http://dbpedia.org/ontology/administrativeCollectivity>,0.0012515644555694619,True
<http://dbpedia.org/ontology/isPartOf?inv>,0.001231377932092535,True
<http://dbpedia.org/ontology/arrondissement>,0.0012111914086156083,True
<http://dbpedia.org/ontology/beltwayCity?inv>,0.0011708183616617547,True
<http://dbpedia.org/ontology/populationRural>,0.0010496992208001937,True
<http://dbpedia.org/ontology/museum?inv>,0.0009891396503694135,True
<http://dbpedia.org/ontology/jurisdiction?inv>,0.0009891396503694135,True
<http://dbpedia.org/ontology/borough>,0.0009487666034155598,True
<http://xmlns.com/foaf/0.1/logo?inv>,0.0008680205095078525,True
<http://dbpedia.org/ontology/associationOfLocalGovernment?inv>,0.0008680205095078525,True
<http://dbpedia.org/ontology/administrativeCenter?inv>,0.0008276474625539989,True
<http://dbpedia.org/ontology/distanceToCharingCross>,0.0008276474625539989,True
<http://dbpedia.org/ontology/riverMouth?inv>,0.0008074609390770722,True
<http://dbpedia.org/ontology/routeStartLocation?inv>,0.0007872744156001454,True
<http://dbpedia.org/ontology/manufactory?inv>,0.0007670878921232186,True
<http://dbpedia.org/ontology/administrativeCollectivity?inv>,0.0007267148451693649,True
<http://dbpedia.org/ontology/distanceToBelfast>,0.0007065283216924381,True
<http://dbpedia.org/ontology/foundationPlace?inv>,0.0006661552747385845,True
<http://dbpedia.org/ontology/mayor>,0.0006459687512616577,True
<http://dbpedia.org/ontology/routeEndLocation?inv>,0.0006459687512616577,True
<http://dbpedia.org/ontology/nationality?inv>,0.0005854091808308773,True
<http://dbpedia.org/ontology/honours?inv>,0.0005854091808308773,True
<http://dbpedia.org/ontology/length>,0.0005046630869231701,True
<http://dbpedia.org/ontology/dissolutionDate>,0.0004642900399693165,True
<http://dbpedia.org/ontology/width>,0.0004642900399693165,True
<http://dbpedia.org/ontology/canonizedPlace?inv>,0.00044410351649238966,True
<http://dbpedia.org/ontology/language>,0.00042391699301546287,True
<http://dbpedia.org/ontology/stateOfOrigin?inv>,0.0004037304695385361,True
<http://dbpedia.org/ontology/predecessor?inv>,0.0004037304695385361,True
<http://dbpedia.org/ontology/citizenship?inv>,0.0004037304695385361,True
<http://dbpedia.org/ontology/department?inv>,0.0004037304695385361,True
<http://dbpedia.org/ontology/nonFictionSubject?inv>,0.0004037304695385361,True
<http://dbpedia.org/ontology/agency?inv>,0.00034317089910775565,True
<http://dbpedia.org/ontology/successor?inv>,0.00034317089910775565,True
<http://dbpedia.org/ontology/location>,0.00032298437563082886,True
<http://dbpedia.org/ontology/arrondissement?inv>,0.00030279785215390207,True
<http://dbpedia.org/ontology/significantDesign?inv>,0.00030279785215390207,True
<http://dbpedia.org/ontology/anthem>,0.0002826113286769752,True
<http://dbpedia.org/ontology/canton?inv>,0.0002826113286769752,True
<http://dbpedia.org/ontology/jointCommunity?inv>,0.0002826113286769752,True
<http://dbpedia.org/ontology/border?inv>,0.0002826113286769752,True
<http://dbpedia.org/ontology/borough?inv>,0.00026242480520004844,True
<http://dbpedia.org/ontology/soundRecording>,0.00024223828172312165,True
<http://dbpedia.org/ontology/metropolitanBorough?inv>,0.00024223828172312165,True
<http://dbpedia.org/ontology/twinCountry>,0.00024223828172312165,True
<http://dbpedia.org/ontology/governmentType?inv>,0.00022205175824619483,True
<http://dbpedia.org/ontology/crownDependency>,0.00022205175824619483,True
<http://dbpedia.org/ontology/areaRural>,0.00020186523476926804,True
<http://dbpedia.org/ontology/lowestPlace>,0.00020186523476926804,True
<http://dbpedia.org/ontology/administrativeDistrict?inv>,0.00020186523476926804,True
<http://dbpedia.org/ontology/highest?inv>,0.00020186523476926804,True
<http://dbpedia.org/ontology/profession?inv>,0.00018167871129234122,True
<http://dbpedia.org/ontology/distanceToCardiff>,0.00018167871129234122,True
<http://dbpedia.org/ontology/timeZone?inv>,0.00018167871129234122,True
<http://dbpedia.org/ontology/highestPlace>,0.00018167871129234122,True
<http://dbpedia.org/ontology/language?inv>,0.00018167871129234122,True
<http://dbpedia.org/ontology/genre?inv>,0.00016149218781541443,True
<http://dbpedia.org/ontology/locationCountry?inv>,0.00016149218781541443,True
<http://dbpedia.org/ontology/schoolBoard?inv>,0.00016149218781541443,True
<http://dbpedia.org/ontology/usingCountry?inv>,0.00016149218781541443,True
<http://dbpedia.org/ontology/archipelago>,0.00016149218781541443,True
<http://dbpedia.org/ontology/map?inv>,0.00016149218781541443,True
<http://purl.org/dc/elements/1.1/subject?inv>,0.00016149218781541443,True
<http://dbpedia.org/ontology/outflow?inv>,0.00016149218781541443,True
<http://dbpedia.org/ontology/wineRegion?inv>,0.0001413056643384876,True
<http://dbpedia.org/ontology/board?inv>,0.0001413056643384876,True
<http://dbpedia.org/ontology/parish>,0.0001413056643384876,True
<http://dbpedia.org/ontology/principalArea?inv>,0.0001413056643384876,True
<http://dbpedia.org/ontology/addressInRoad?inv>,0.00012111914086156082,True
<http://dbpedia.org/ontology/religion?inv>,0.00012111914086156082,True
<http://dbpedia.org/ontology/rebuilder?inv>,0.00012111914086156082,True
<http://dbpedia.org/ontology/largestSettlement?inv>,0.00012111914086156082,True
<http://dbpedia.org/ontology/archipelago?inv>,0.00012111914086156082,True
<http://dbpedia.org/ontology/lieutenancyArea?inv>,0.00012111914086156082,True
<http://dbpedia.org/ontology/distanceToDouglas>,0.00012111914086156082,True
<http://dbpedia.org/ontology/field?inv>,0.00010093261738463402,True
<http://dbpedia.org/ontology/mountainRange?inv>,0.00010093261738463402,True
<http://dbpedia.org/ontology/product?inv>,0.00010093261738463402,True
<http://dbpedia.org/ontology/day>,0.00010093261738463402,True
<http://dbpedia.org/ontology/crosses?inv>,0.00010093261738463402,True
<http://dbpedia.org/ontology/inflow?inv>,0.00010093261738463402,True
<http://dbpedia.org/ontology/movement?inv>,0.00010093261738463402,True
<http://dbpedia.org/ontology/island?inv>,0.00010093261738463402,True
<http://dbpedia.org/ontology/anthem?inv>,8.074609390770722e-05,True
<http://dbpedia.org/ontology/architecturalStyle?inv>,8.074609390770722e-05,True
<http://dbpedia.org/ontology/launchSite?inv>,8.074609390770722e-05,True
<http://dbpedia.org/ontology/localAuthority?inv>,8.074609390770722e-05,True
<http://dbpedia.org/ontology/subregion?inv>,8.074609390770722e-05,True
<http://dbpedia.org/ontology/parish?inv>,8.074609390770722e-05,True
<http://dbpedia.org/ontology/hasVariant?inv>,8.074609390770722e-05,True
<http://dbpedia.org/ontology/related?inv>,8.074609390770722e-05,True
<http://dbpedia.org/ontology/academicDiscipline?inv>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/intercommunality?inv>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/buildingEndDate>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/councilArea?inv>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/owner>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/position?inv>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/powerType?inv>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/basedOn?inv>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/federalState?inv>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/series?inv>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/subsequentWork?inv>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/ceremonialCounty?inv>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/riverBranch?inv>,6.055957043078041e-05,True
<http://dbpedia.org/ontology/service?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/binomialAuthority?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/sisterNewspaper?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/authority?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/officialLanguage>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/meaning>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/race?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/topLevelDomain>,4.037304695385361e-05,True
<http://xmlns.com/foaf/0.1/depiction?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/legislature>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/languageFamily?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/programmeFormat?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/distanceToDublin>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/currency>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/influencedBy?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/event>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/deathCause?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/currencyCode>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/currency?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/instrument?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/cultivatedVariety?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/imdbId>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/countryCode>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/industry?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/management?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/convictionPenalty?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/colour?inv>,4.037304695385361e-05,True
<http://dbpedia.org/ontology/mainOrgan?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/subdivisions>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/giniCoefficient>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/ruralMunicipality?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/genus?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/sire?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/format?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/sportCountry?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/structuralSystem?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/stylisticOrigin?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/followingEvent?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/religion>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/album?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/iso31661Code>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/televisionSeries?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/ethnicGroup>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/unitaryAuthority?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/varietals?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/viafId>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/engine?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/river?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/releaseLocation?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/educationSystem?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/growingGrape?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/influenced?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/musicSubgenre?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/bodyStyle?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/ingredient?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/leaderFunction?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/populationRuralDensity>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/humanDevelopmentIndex>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/portrayer?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/grandsire?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/damsire?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/previousEvent?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/largestCity>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/previousWork?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/capital>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/athletics?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/languageRegulator?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/category?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/railwayLineUsingTunnel?inv>,2.0186523476926804e-05,True
<http://dbpedia.org/ontology/isPartOfWineRegion?inv>,2.0186523476926804e-05,True
